cohort_month,period_number,cohort_size,active_customers,retention
2010-12-01,1,76,7,0.09210526315789473
2010-12-01,2,76,4,0.05263157894736842
2010-12-01,3,76,7,0.09210526315789473
2010-12-01,4,76,9,0.11842105263157894
2010-12-01,5,76,5,0.06578947368421052
2010-12-01,6,76,4,0.05263157894736842
2011-01-01,0,71,71,1.0
2011-01-01,1,71,12,0.16901408450704225
2011-01-01,2,71,15,0.2112676056338028
2011-01-01,3,71,14,0.19718309859154928
2011-01-01,4,71,15,0.2112676056338028
2011-01-01,5,71,11,0.15492957746478872
2011-01-01,6,71,11,0.15492957746478872
2011-02-01,0,124,124,1.0
2011-02-01,1,124,20,0.16129032258064516
2011-02-01,2,124,19,0.1532258064516129
2011-02-01,3,124,23,0.18548387096774194
2011-02-01,4,124,27,0.21774193548387097
2011-02-01,5,124,19,0.1532258064516129
2011-02-01,6,124,19,0.1532258064516129
2011-03-01,0,179,179,1.0
2011-03-01,1,179,33,0.18435754189944134
2011-03-01,2,179,39,0.21787709497206703
2011-03-01,3,179,36,0.2011173184357542
2011-03-01,4,179,40,0.22346368715083798
2011-03-01,5,179,27,0.15083798882681565
2011-03-01,6,179,37,0.20670391061452514
2011-04-01,0,106,106,1.0
2011-04-01,1,106,27,0.25471698113207547
2011-04-01,2,106,21,0.19811320754716982
2011-04-01,3,106,21,0.19811320754716982
2011-04-01,4,106,19,0.1792452830188679
2011-04-01,5,106,25,0.2358490566037736
2011-04-01,6,106,19,0.1792452830188679
2011-05-01,0,111,111,1.0
2011-05-01,1,111,26,0.23423423423423423
2011-05-01,2,111,27,0.24324324324324326
2011-05-01,3,111,18,0.16216216216216217
2011-05-01,4,111,24,0.21621621621621623
2011-05-01,5,111,23,0.2072072072072072
2011-05-01,6,111,29,0.26126126126126126
2011-06-01,0,108,108,1.0
2011-06-01,1,108,25,0.23148148148148148
2011-06-01,2,108,23,0.21296296296296297
2011-06-01,3,108,29,0.26851851851851855
2011-06-01,4,108,22,0.2037037037037037
2011-06-01,5,108,31,0.28703703703703703
2011-06-01,6,108,9,0.08333333333333333
2011-07-01,0,102,102,1.0
2011-07-01,1,102,22,0.21568627450980393
2011-07-01,2,102,31,0.30392156862745096
2011-07-01,3,102,28,0.27450980392156865
2011-07-01,4,102,35,0.3431372549019608
2011-07-01,5,102,16,0.1568627450980392
2011-08-01,0,106,106,1.0
2011-08-01,1,106,29,0.27358490566037735
2011-08-01,2,106,33,0.3113207547169811
2011-08-01,3,106,28,0.2641509433962264
2011-08-01,4,106,18,0.16981132075471697
2011-09-01,0,189,189,1.0
2011-09-01,1,189,51,0.2698412698412698
2011-09-01,2,189,71,0.37566137566137564
2011-09-01,3,189,28,0.14814814814814814
2011-10-01,0,221,221,1.0
2011-10-01,1,221,71,0.3212669683257919
2011-10-01,2,221,35,0.1583710407239819
2011-11-01,0,191,191,1.0
2011-11-01,1,191,27,0.14136125654450263
